order,texts
1,"""Hey Google, help me relax."""
2,"""Hey Google, sing a song."""
3,"""Hey Google, read a bedtime story."""
4,"""Hey Google, raise the temperature three degrees."""
5,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning."""
6,"""Hey Google, do I have any alarms set?"""
7,"""Hey Google, play Money by LISA from Spotify."""
8,"""Hey Google, skip to the next chapter."""
9,"""Hey Google, are there any Italian restaurants around here?"""
10,"""Hey Google, play some hip hop."""
11,"""Hey Google, play some music."""
12,"""Hey Google, turn on all the switches."""
13,"""Hey Google, what's the weather like today?"""
14,"""Hey Google, Bluetooth pairing."""
15,"""Hey Google, set the kitchen lights to 50% (Fifthy-Percent)."""
16,"""Hey Google, how much time is left on this chapter?"""
17,"""Hey Google, help."""
18,"""Hey Google, broadcast 'dinner is ready'."""
19,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen)."""
20,"""Hey Google, add apples to my shopping list."""
