order,texts
1,"""Hey Google, read a bedtime story."""
2,"""Hey Google, did the Liverpool win yesterday?"""
3,"""Hey Google, redi-al."""
4,"""Hey Google, call the nearest coffee shop."""
5,"""Hey Google, stop the music."""
6,"""Hey Google, broadcast 'wake everybody up'."""
7,"""Hey Google, dim the living room lights."""
8,"""Hey Google, broadcast 'dinner is ready'."""
9,"""Hey Google, turn on the Bedroom Light."""
10,"""Hey Google, broadcast 'time to leave for school'."""
11,"""Hey Google, stop."""
12,"""Hey Google, play music on all the downstairs speakers."""
13,"""Hey Google, play some hip hop."""
14,"""Hey Google, snooze the alarm."""
15,"""Hey Google, what does an elephant sound like?"""
16,"""Hey Google, remember that I left the spare keys in the kitchen cupboard."""
17,"""Hey Google, play Batman on TV."""
18,"""Hey Google, what is the French word for grapefruit?"""
19,"""Hey Google, help."""
20,"""Hey Google, what are my reminders for this week?"""
