order,texts
1,"""Hey Google, stop the music."""
2,"""Hey Google, how many calories are in a Banana?"""
3,"""Hey Google, play some music."""
4,"""Hey Google, flip a coin."""
5,"""Hey Google, what are my reminders for this week?"""
6,"""Hey Google, what's the temperature right now?"""
7,"""Hey Google, show me the backdoor camera."""
8,"""Hey Google, set alarm for 8 AM tomorrow."""
9,"""Hey Google, when is it going to rain?"""
10,"""Hey Google, turn the living room lights to blue"""
11,"""Hey Google, snooze the alarm."""
12,"""Hey Google, broadcast 'time to leave for school'."""
13,"""Hey Google, stop."""
14,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work."""
15,"""Hey Google, play some music from Spotify."""
16,"""Hey Google, add apples to my shopping list."""
17,"""Hey Google, read Women and Power."""
18,"""Hey Google, when is Walmart open until?"""
19,"""Hey Google, turn up the sound."""
20,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen)."""
