order,texts
1,"""Hey Google, what does an elephant sound like?"""
2,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work."""
3,"""Hey Google, play some music from Spotify."""
4,"""Hey Google, play Money by LISA from Spotify."""
5,"""Hey Google, flip a coin."""
6,"""Hey Google, read Women and Power."""
7,"""Hey Google, move my music to the bedroom"""
8,"""Hey Google, read a bedtime story."""
9,"""Hey Google, Open Spotify."""
10,"""Hey Google, raise the temperature three degrees."""
11,"""Hey Google, hang up."""
12,"""Hey Google, broadcast 'time to leave for school'."""
13,"""Hey Google, brighten the office lamp."""
14,"""Hey Google, what is today's headlines?"""
15,"""Hey Google, turn on the Bedroom Light."""
16,"""Hey Google, where did I put the spare keys?"""
17,"""Hey Google, redial."""
18,"""Hey Google, are there any Italian restaurants around here?"""
19,"""Hey Google, call my phone."""
20,"""Hey Google, do I have anything scheduled for Friday?"""
