order,texts
1,"""Hey Google, set the thermostat to 20 (Twenty) degrees."""
2,"""Hey Google, broadcast 'dinner is ready'."""
3,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning."""
4,"""Hey Google, delete my reminder to pick up my dry cleaning."""
5,"""Hey Google, skip to the next chapter."""
6,"""Hey Google, did the Liverpool win yesterday?"""
7,"""Hey Google, when is it going to rain?"""
8,"""Hey Google, sing a song."""
9,"""Hey Google, are there any Italian restaurants around here?"""
10,"""Hey Google, start the school day"""
11,"""Hey Google, hang up."""
12,"""Hey Google, help."""
13,"""Hey Google, broadcast 'wake everybody up'."""
14,"""Hey Google, How do you solve this problem?"""
15,"""Hey Google, raise the temperature three degrees."""
16,"""Hey Google, stop the music."""
17,"""Hey Google, read a bedtime story."""
18,"""Hey Google, add apples to my shopping list."""
19,"""Hey Google, what does an elephant sound like?"""
20,"""Hey Google, broadcast 'the football is about to start."""
